Local Body Code,Local Body Name,Local Body Type,"District Level Parent Name
",Intermediate Level Parent Name,Ward Code,Ward Number,"Ward Name (In English)
","Ward Name (In Local)
",
479,BAGALKOT,District Panchayat,,,107271,1,Ward No. 1,Ward No. 1,
483,BALLARI,District Panchayat,,,79334,1,Ward No. 1,Ward No. 1,
482,BELAGAVI,District Panchayat,,,100188,1,Ward No. 1,Ward No. 1,
481,BENGALURU RURAL,District Panchayat,,,112528,1,Ward No. 1,Ward No. 1,
480,BENGALURU URBAN,District Panchayat,,,79701,1,Ward No. 1,Ward No. 1,
484,BIDAR,District Panchayat,,,89686,1,Ward No. 1,Ward No. 1,
574,CHIKBALLAPUR,District Panchayat,,,947455,1,Chikkaballapura (ZP) - Ward No 1,,
574,CHIKBALLAPUR,District Panchayat,,,947457,2,Chikkaballapura (ZP) - Ward No 2,,
574,CHIKBALLAPUR,District Panchayat,,,947459,3,Chikkaballapura (ZP) - Ward No 3,,
574,CHIKBALLAPUR,District Panchayat,,,947461,4,Chikkaballapura (ZP) - Ward No 4,,
574,CHIKBALLAPUR,District Panchayat,,,947466,5,Chikkaballapura (ZP) - Ward No 5,,
574,CHIKBALLAPUR,District Panchayat,,,947472,6,Chikkaballapura (ZP) - Ward No 6,,
574,CHIKBALLAPUR,District Panchayat,,,947482,7,Chikkaballapura (ZP) - Ward No 7,,
574,CHIKBALLAPUR,District Panchayat,,,947485,8,Chikkaballapura (ZP) - Ward No 8,,
574,CHIKBALLAPUR,District Panchayat,,,947488,9,Chikkaballapura (ZP) - Ward No 9,,
574,CHIKBALLAPUR,District Panchayat,,,947594,10,Chikkaballapura (ZP) - Ward No 10,,
574,CHIKBALLAPUR,District Panchayat,,,947599,11,Chikkaballapura (ZP) - Ward No 11,,
574,CHIKBALLAPUR,District Panchayat,,,947612,12,Chikkaballapura (ZP) - Ward No 12,,
574,CHIKBALLAPUR,District Panchayat,,,947615,13,Chikkaballapura (ZP) - Ward No 13,,
574,CHIKBALLAPUR,District Panchayat,,,947618,14,Chikkaballapura (ZP) - Ward No 14,,
574,CHIKBALLAPUR,District Panchayat,,,947622,15,Chikkaballapura (ZP) - Ward No 15,,
574,CHIKBALLAPUR,District Panchayat,,,947626,16,Chikkaballapura (ZP) - Ward No 16,,
574,CHIKBALLAPUR,District Panchayat,,,947628,17,Chikkaballapura (ZP) - Ward No 17,,
574,CHIKBALLAPUR,District Panchayat,,,947629,18,Chikkaballapura (ZP) - Ward No 18,,
